2024-04-19 18:48:38 - : 100
2024-04-19 18:50:16 - :  Score: 60
2024-04-19 18:54:20 - :  Score: 10
2024-04-19 19:18:27 - :  Score: 20
2024-04-22 00:47:20 - :  Score: 20
2024-04-22 00:53:26 - :  Score: 20
2024-04-22 00:54:54 - :  Score: 20
2024-04-22 01:14:34 - :  Score: 20
2024-04-22 01:17:32 - :  Score: 20
2024-04-22 01:21:33 - :  Score: 40
2024-04-22 01:24:53 - :  Score: 20
2024-04-22 01:34:47 - :  Score: 0
2024-04-22 07:16:04 - :  Score: 100
2024-04-22 07:16:08 - :  Score: 100
2024-04-22 07:16:22 - :  Score: 100
2024-04-22 07:16:37 - :  Score: 100
2024-04-22 07:16:52 - :  Score: 100
2024-04-22 07:17:02 - :  Score: 20
2024-04-22 07:17:06 - :  Score: 20
2024-04-22 07:17:07 - :  Score: 100
2024-05-06 13:27:07 - :  Score: 20
2024-05-06 13:27:08 - :  Score: 20
2024-05-06 13:27:08 - :  Score: 20
2024-05-06 13:27:12 - :  Score: 20
2024-05-06 13:31:56 - :  Score: 0
2024-05-06 13:32:01 - :  Score: 0
2024-05-06 13:33:37 - :  Score: 0
2024-05-06 13:33:57 - :  Score: 10
